$ cat cln.log
2022-11-18T15:28:08.621Z INFO    plugin-pay: cmd 43257 partid 93: No path found
2022-11-18T15:28:08.893Z INFO    plugin-pay: cmd 43257 partid 97: No path found
2022-11-18T15:28:08.894Z INFO    plugin-pay: cmd 43257 partid 55: No path found
2022-11-18T15:28:08.894Z INFO    plugin-pay: cmd 43257 partid 57: No path found
2022-11-18T15:28:08.895Z INFO    plugin-pay: cmd 43257 partid 61: No path found
2022-11-18T15:28:08.895Z INFO    plugin-pay: cmd 43257 partid 62: No path found
2022-11-18T15:28:08.896Z INFO    plugin-pay: cmd 43257 partid 148: No path found
2022-11-18T15:28:08.896Z INFO    plugin-pay: cmd 43257 partid 151: No path found
2022-11-18T15:28:08.897Z INFO    plugin-pay: cmd 43257 partid 152: No path found
2022-11-18T15:28:08.897Z INFO    plugin-pay: cmd 43257 partid 155: No path found
2022-11-18T15:28:08.897Z INFO    plugin-pay: cmd 43257 partid 158: No path found
2022-11-18T15:28:08.898Z INFO    plugin-pay: cmd 43257 partid 159: No path found
2022-11-18T15:28:08.898Z INFO    plugin-pay: cmd 43257 partid 161: No path found
2022-11-18T15:28:08.898Z INFO    plugin-pay: cmd 43257 partid 163: No path found
2022-11-18T15:28:08.898Z INFO    plugin-pay: cmd 43257 partid 164: No path found
2022-11-18T15:28:08.899Z INFO    plugin-pay: cmd 43257 partid 165: No path found
2022-11-18T15:28:08.899Z INFO    plugin-pay: cmd 43257 partid 166: No path found
2022-11-18T15:28:08.899Z INFO    plugin-pay: cmd 43257 partid 169: No path found
2022-11-18T15:28:08.900Z INFO    plugin-pay: cmd 43257 partid 112: No path found
2022-11-18T15:28:08.900Z INFO    plugin-pay: cmd 43257 partid 70: No path found
2022-11-18T15:28:08.900Z INFO    plugin-pay: cmd 43257 partid 74: No path found
2022-11-18T15:28:08.900Z INFO    plugin-pay: cmd 43257 partid 76: No path found
2022-11-18T15:28:08.900Z INFO    plugin-pay: cmd 43257 partid 114: No path found
2022-11-18T15:28:08.901Z INFO    plugin-pay: cmd 43257 partid 119: No path found
2022-11-18T15:28:08.901Z INFO    plugin-pay: cmd 43257 partid 123: No path found
2022-11-18T15:28:08.901Z INFO    plugin-pay: cmd 43257 partid 170: No path found
2022-11-18T15:28:08.901Z INFO    plugin-pay: cmd 43257 partid 171: No path found
2022-11-18T15:28:08.902Z INFO    plugin-pay: cmd 43257 partid 172: No path found
2022-11-18T15:28:08.902Z INFO    plugin-pay: cmd 43257 partid 175: No path found
2022-11-18T15:28:08.902Z INFO    plugin-pay: cmd 43257 partid 177: No path found
2022-11-18T15:28:08.902Z INFO    plugin-pay: cmd 43257 partid 179: No path found
2022-11-18T15:28:08.902Z INFO    plugin-pay: cmd 43257 partid 183: No path found
2022-11-18T15:28:08.902Z INFO    plugin-pay: cmd 43257 partid 185: No path found
2022-11-18T15:28:08.902Z INFO    plugin-pay: cmd 43257 partid 186: No path found
2022-11-18T15:28:08.902Z INFO    plugin-pay: cmd 43257 partid 191: No path found
2022-11-18T15:28:08.903Z INFO    plugin-pay: cmd 43257 partid 193: No path found
2022-11-18T15:28:08.903Z INFO    plugin-pay: cmd 43257 partid 196: No path found
2022-11-18T15:28:08.903Z INFO    plugin-pay: cmd 43257 partid 129: No path found
2022-11-18T15:28:08.903Z INFO    plugin-pay: cmd 43257 partid 130: No path found
2022-11-18T15:28:08.903Z INFO    plugin-pay: cmd 43257 partid 132: No path found
2022-11-18T15:28:08.903Z INFO    plugin-pay: cmd 43257 partid 133: No path found
2022-11-18T15:28:08.964Z INFO    plugin-pay: cmd 43257 partid 141: No path found
2022-11-18T15:28:09.016Z INFO    plugin-pay: cmd 43257 partid 78: No path found
2022-11-18T15:28:09.217Z INFO    plugin-pay: cmd 43257 partid 144: No path found
2022-11-18T15:28:09.426Z INFO    plugin-pay: cmd 43257 partid 80: No path found
2022-11-18T15:28:09.450Z INFO    plugin-pay: cmd 43257 partid 81: No path found
2022-11-18T15:28:09.584Z INFO    plugin-pay: cmd 43257 partid 199: No path found
2022-11-18T15:28:09.585Z INFO    plugin-pay: cmd 43257 partid 92: No path found
2022-11-18T15:28:09.585Z INFO    plugin-pay: cmd 43257 partid 201: No path found
2022-11-18T15:28:09.585Z INFO    plugin-pay: cmd 43257 partid 95: No path found
2022-11-18T15:28:09.585Z INFO    plugin-pay: cmd 43257 partid 96: No path found
2022-11-18T15:28:09.586Z INFO    plugin-pay: cmd 43257 partid 204: No path found
2022-11-18T15:28:09.586Z INFO    plugin-pay: cmd 43257 partid 99: No path found
2022-11-18T15:28:09.586Z INFO    plugin-pay: cmd 43257 partid 205: No path found
2022-11-18T15:28:09.586Z INFO    plugin-pay: cmd 43257 partid 206: No path found
2022-11-18T15:28:09.586Z INFO    plugin-pay: cmd 43257 partid 207: No path found
2022-11-18T15:28:09.587Z INFO    plugin-pay: cmd 43257 partid 209: No path found
2022-11-18T15:28:09.587Z INFO    plugin-pay: cmd 43257 partid 63: No path found
2022-11-18T15:28:09.587Z INFO    plugin-pay: cmd 43257 partid 101: No path found
2022-11-18T15:28:09.587Z INFO    plugin-pay: cmd 43257 partid 145: No path found
2022-11-18T15:28:09.587Z INFO    plugin-pay: cmd 43257 partid 146: No path found
2022-11-18T15:28:09.587Z INFO    plugin-pay: cmd 43257 partid 147: No path found
2022-11-18T15:28:09.588Z INFO    plugin-pay: cmd 43257 partid 212: No path found
2022-11-18T15:28:09.589Z INFO    plugin-pay: cmd 43257 partid 213: No path found
2022-11-18T15:28:09.589Z INFO    plugin-pay: cmd 43257 partid 215: No path found
2022-11-18T15:28:09.589Z INFO    plugin-pay: cmd 43257 partid 216: No path found
2022-11-18T15:28:09.590Z INFO    plugin-pay: cmd 43257 partid 217: No path found
2022-11-18T15:28:09.590Z INFO    plugin-pay: cmd 43257 partid 218: No path found
2022-11-18T15:28:09.590Z INFO    plugin-pay: cmd 43257 partid 220: No path found
2022-11-18T15:28:09.591Z INFO    plugin-pay: cmd 43257 partid 221: No path found
2022-11-18T15:28:09.591Z INFO    plugin-pay: cmd 43257 partid 222: No path found
2022-11-18T15:28:09.591Z INFO    plugin-pay: cmd 43257 partid 223: No path found
2022-11-18T15:28:09.591Z INFO    plugin-pay: cmd 43257 partid 224: No path found
2022-11-18T15:28:09.592Z INFO    plugin-pay: cmd 43257 partid 225: No path found
2022-11-18T15:28:09.592Z INFO    plugin-pay: cmd 43257 partid 229: No path found
2022-11-18T15:28:09.592Z INFO    plugin-pay: cmd 43257 partid 234: No path found
2022-11-18T15:28:09.592Z INFO    plugin-pay: cmd 43257 partid 235: No path found
2022-11-18T15:28:09.593Z INFO    plugin-pay: cmd 43257 partid 239: No path found
2022-11-18T15:28:09.593Z INFO    plugin-pay: cmd 43257 partid 153: No path found
2022-11-18T15:28:09.593Z INFO    plugin-pay: cmd 43257 partid 154: No path found
2022-11-18T15:28:09.593Z INFO    plugin-pay: cmd 43257 partid 162: No path found
2022-11-18T15:28:09.594Z INFO    plugin-pay: cmd 43257 partid 167: No path found
2022-11-18T15:28:09.594Z INFO    plugin-pay: cmd 43257 partid 168: No path found
2022-11-18T15:28:09.594Z INFO    plugin-pay: cmd 43257 partid 244: No path found
2022-11-18T15:28:09.594Z INFO    plugin-pay: cmd 43257 partid 245: No path found
2022-11-18T15:28:09.594Z INFO    plugin-pay: cmd 43257 partid 246: No path found
2022-11-18T15:28:09.594Z INFO    plugin-pay: cmd 43257 partid 247: No path found
2022-11-18T15:28:09.594Z INFO    plugin-pay: cmd 43257 partid 248: No path found
2022-11-18T15:28:09.595Z INFO    plugin-pay: cmd 43257 partid 122: No path found
2022-11-18T15:28:09.595Z INFO    plugin-pay: cmd 43257 partid 124: No path found
2022-11-18T15:28:09.595Z INFO    plugin-pay: cmd 43257 partid 125: No path found
2022-11-18T15:28:09.674Z INFO    plugin-pay: cmd 43257 partid 253: No path found
2022-11-18T15:28:09.721Z INFO    plugin-pay: cmd 43257 partid 255: No path found
2022-11-18T15:28:09.755Z INFO    plugin-pay: cmd 43257 partid 257: No path found
2022-11-18T15:28:10.469Z INFO    plugin-pay: cmd 43257 partid 258: No path found
2022-11-18T15:28:10.469Z INFO    plugin-pay: cmd 43257 partid 259: No path found
2022-11-18T15:28:10.469Z INFO    plugin-pay: cmd 43257 partid 261: No path found
2022-11-18T15:28:10.469Z INFO    plugin-pay: cmd 43257 partid 263: No path found
2022-11-18T15:28:10.470Z INFO    plugin-pay: cmd 43257 partid 265: No path found
2022-11-18T15:28:10.470Z INFO    plugin-pay: cmd 43257 partid 174: No path found
2022-11-18T15:28:10.470Z INFO    plugin-pay: cmd 43257 partid 178: No path found
2022-11-18T15:28:10.470Z INFO    plugin-pay: cmd 43257 partid 187: No path found
2022-11-18T15:28:10.719Z INFO    plugin-pay: cmd 43257 partid 188: No path found
2022-11-18T15:28:10.719Z INFO    plugin-pay: cmd 43257 partid 189: No path found
2022-11-18T15:28:10.837Z INFO    plugin-pay: cmd 43257 partid 190: No path found
2022-11-18T15:28:11.185Z INFO    plugin-pay: cmd 43257 partid 266: No path found
2022-11-18T15:28:11.220Z INFO    plugin-pay: cmd 43257 partid 268: No path found
2022-11-18T15:28:11.263Z INFO    plugin-pay: cmd 43257 partid 269: No path found
2022-11-18T15:28:11.424Z INFO    plugin-pay: cmd 43257 partid 270: No path found
2022-11-18T15:28:11.479Z INFO    plugin-pay: cmd 43257 partid 272: No path found
2022-11-18T15:28:11.523Z INFO    plugin-pay: cmd 43257 partid 273: No path found
2022-11-18T15:28:11.562Z INFO    plugin-pay: cmd 43257 partid 278: No path found
2022-11-18T15:28:11.654Z INFO    plugin-pay: cmd 43257 partid 279: No path found
2022-11-18T15:28:11.689Z INFO    plugin-pay: cmd 43257 partid 284: No path found
2022-11-18T15:28:11.779Z INFO    plugin-pay: cmd 43257 partid 286: No path found
2022-11-18T15:28:11.859Z INFO    plugin-pay: cmd 43257 partid 194: No path found
2022-11-18T15:28:11.859Z INFO    plugin-pay: cmd 43257 partid 195: No path found
2022-11-18T15:28:11.859Z INFO    plugin-pay: cmd 43257 partid 128: No path found
2022-11-18T15:28:11.859Z INFO    plugin-pay: cmd 43257 partid 136: No path found
2022-11-18T15:28:11.860Z INFO    plugin-pay: cmd 43257 partid 138: No path found
2022-11-18T15:28:11.860Z INFO    plugin-pay: cmd 43257 partid 140: No path found
2022-11-18T15:28:11.860Z INFO    plugin-pay: cmd 43257 partid 288: No path found
2022-11-18T15:28:11.860Z INFO    plugin-pay: cmd 43257 partid 290: No path found
2022-11-18T15:28:11.860Z INFO    plugin-pay: cmd 43257 partid 293: No path found
2022-11-18T15:28:11.860Z INFO    plugin-pay: cmd 43257 partid 296: No path found
2022-11-18T15:28:11.860Z INFO    plugin-pay: cmd 43257 partid 297: No path found
2022-11-18T15:28:11.861Z INFO    plugin-pay: cmd 43257 partid 298: No path found
2022-11-18T15:28:11.861Z INFO    plugin-pay: cmd 43257 partid 299: No path found
2022-11-18T15:28:11.861Z INFO    plugin-pay: cmd 43257 partid 300: No path found
2022-11-18T15:28:11.861Z INFO    plugin-pay: cmd 43257 partid 301: No path found
2022-11-18T15:28:11.861Z INFO    plugin-pay: cmd 43257 partid 302: No path found
2022-11-18T15:28:11.861Z INFO    plugin-pay: cmd 43257 partid 303: No path found
2022-11-18T15:28:11.861Z INFO    plugin-pay: cmd 43257 partid 308: No path found
2022-11-18T15:28:11.862Z INFO    plugin-pay: cmd 43257 partid 309: No path found
2022-11-18T15:28:11.862Z INFO    plugin-pay: cmd 43257 partid 313: No path found
2022-11-18T15:28:11.862Z INFO    plugin-pay: cmd 43257 partid 315: No path found
2022-11-18T15:28:11.862Z INFO    plugin-pay: cmd 43257 partid 317: No path found
2022-11-18T15:28:11.862Z INFO    plugin-pay: cmd 43257 partid 318: No path found
2022-11-18T15:28:11.863Z INFO    plugin-pay: cmd 43257 partid 319: No path found
2022-11-18T15:28:11.863Z INFO    plugin-pay: cmd 43257 partid 320: No path found
2022-11-18T15:28:11.864Z INFO    plugin-pay: cmd 43257 partid 321: No path found
2022-11-18T15:28:11.864Z INFO    plugin-pay: cmd 43257 partid 322: No path found
2022-11-18T15:28:11.865Z INFO    plugin-pay: cmd 43257 partid 198: No path found
2022-11-18T15:28:11.865Z INFO    plugin-pay: cmd 43257 partid 202: No path found
2022-11-18T15:28:11.866Z INFO    plugin-pay: cmd 43257 partid 203: No path found
